algorithm,architecture,mean_us,median_us,stddev_us,p95_us,p99_us,num_samples
ML-DSA-44,ARM64,2436.11,2078.05,1221.99,5010.64,5856.4,28781
ML-DSA-44,RISC-V64,2215.88,1967.7,917.97,4139.76,4769.84,28131
ML-DSA-44,x86_64,51.51,46.61,16.96,87.2,98.76,2816
ML-DSA-65,ARM64,2921.33,2563.73,1285.19,5636.02,6546.84,27252
ML-DSA-65,RISC-V64,3701.51,3276.28,1615.88,7134.41,8248.26,27881
ML-DSA-65,x86_64,95.98,93.78,33.92,160.19,183.69,2941
ML-DSA-87,ARM64,3784.08,3437.27,1385.37,6703.06,7616.78,26995
ML-DSA-87,RISC-V64,4632.77,4212.62,1669.02,8225.96,9408.06,24428
ML-DSA-87,x86_64,120.92,113.73,30.94,183.38,203.08,2833
ML-KEM-1024,ARM64,365.78,344.35,58.29,490.31,539.85,27488
ML-KEM-1024,RISC-V64,409.33,401.99,14.58,443.0,456.02,26525
ML-KEM-1024,x86_64,32.89,31.01,5.52,43.92,48.55,2804
ML-KEM-512,ARM64,161.66,153.41,21.16,207.56,224.68,27327
ML-KEM-512,RISC-V64,148.28,146.43,5.49,159.99,164.26,28266
ML-KEM-512,x86_64,12.02,10.89,2.18,16.9,18.1,2834
ML-KEM-768,ARM64,260.69,247.53,37.49,333.34,364.45,28196
ML-KEM-768,RISC-V64,243.63,241.36,4.43,253.47,257.46,26671
ML-KEM-768,x86_64,20.19,19.17,3.56,27.21,30.1,2874
